instance,seed,Si,Sh,H T (s),Sf,Uf,F T (s),alpha,maxIt,maxTime
03.txt,1,12.0,12.0,27.28,12.138138138138139,N/A,13.56,0.1,1000,300
03.txt,1,12.0,12.0,5.01,12.080213903743315,12,2.49,0.1,1000,5
03.txt,5,12.0,12.0,27.47,12.147147147147146,N/A,13.63,0.1,1000,300
03.txt,5,12.0,12.0,5.01,12.129032258064516,12,2.52,0.1,1000,5
03.txt,10,12.0,12.0,27.58,12.165165165165165,N/A,13.72,0.1,1000,300
03.txt,10,12.0,12.0,5.01,12.132275132275133,12,2.49,0.1,1000,5
03.txt,1,12.0,12.0,27.33,12.138138138138139,N/A,13.64,0.05,1000,300
03.txt,1,12.0,12.0,5.01,12.081967213114755,12,2.49,0.05,1000,5
03.txt,5,12.0,12.0,27.41,12.147147147147146,N/A,13.63,0.05,1000,300
03.txt,5,12.0,12.0,5.02,12.126984126984127,12,2.53,0.05,1000,5
03.txt,10,12.0,12.0,27.81,12.165165165165165,N/A,13.8,0.05,1000,300
03.txt,10,12.0,12.0,5.02,12.132275132275133,12,2.5,0.05,1000,5
03.txt,1,12.0,12.0,27.63,12.138138138138139,N/A,13.77,0.0,1000,300
03.txt,1,12.0,12.0,5.02,12.080213903743315,12,2.5,0.0,1000,5
03.txt,5,12.0,12.0,27.57,12.147147147147146,N/A,13.65,0.0,1000,300
03.txt,5,12.0,12.0,5.0,12.131147540983607,12,2.52,0.0,1000,5
03.txt,10,12.0,12.0,27.95,12.165165165165165,N/A,13.84,0.0,1000,300
03.txt,10,12.0,12.0,5.02,12.132978723404255,12,2.49,0.0,1000,5
03.txt,1,12.0,12.0,311.81,12.126713512268172,12,133.46,0.1,10000,300
03.txt,5,12.0,12.0,300.42,12.138748274275196,12,127.77,0.1,10000,300
03.txt,10,12.0,12.0,300.01,12.130088398995962,12,133.93,0.1,10000,300
03.txt,1,12.0,12.0,300.02,12.125657259362592,12,133.85,0.05,10000,300
03.txt,5,12.0,12.0,300.0,12.137720051524258,12,133.78,0.05,10000,300
03.txt,10,12.0,12.0,300.0,12.131443298969073,12,130.3,0.05,10000,300
03.txt,1,12.0,12.0,300.01,12.12575366063738,12,133.39,0.0,10000,300
03.txt,5,12.0,12.0,300.01,12.1378156701921,12,133.05,0.0,10000,300
03.txt,10,12.0,12.0,300.02,12.130051192680536,12,132.23,0.0,10000,300
