instance,seed,Si,Sh,H T (s),Sf,Uf,F T (s),alpha,maxIt,maxTime
07.txt,1,11.0,11.0,21.42,11.01101101101101,N/A,10.67,0.1,1000,300
07.txt,1,11.0,11.0,5.01,11.0,11,2.43,0.1,1000,5
07.txt,5,11.0,11.0,21.68,11.01101101101101,N/A,10.84,0.1,1000,300
07.txt,5,11.0,11.0,5.02,11.0,11,2.45,0.1,1000,5
07.txt,10,11.0,11.0,21.82,11.01101101101101,N/A,10.87,0.1,1000,300
07.txt,10,11.0,11.0,5.02,11.0,11,2.44,0.1,1000,5
07.txt,1,11.0,11.0,21.75,11.01101101101101,N/A,10.85,0.05,1000,300
07.txt,1,11.0,11.0,5.01,11.0,11,2.43,0.05,1000,5
07.txt,5,11.0,11.0,21.61,11.01101101101101,N/A,10.81,0.05,1000,300
07.txt,5,11.0,11.0,5.01,11.0,11,2.45,0.05,1000,5
07.txt,10,11.0,11.0,21.61,11.01101101101101,N/A,10.77,0.05,1000,300
07.txt,10,11.0,11.0,5.02,11.0,11,2.43,0.05,1000,5
07.txt,1,11.0,11.0,21.45,11.01101101101101,N/A,10.7,0.0,1000,300
07.txt,1,11.0,11.0,5.02,11.0,11,2.44,0.0,1000,5
07.txt,5,11.0,11.0,21.97,11.01101101101101,N/A,10.99,0.0,1000,300
07.txt,5,11.0,11.0,5.03,11.0,11,2.45,0.0,1000,5
07.txt,10,11.0,11.0,21.41,11.01101101101101,N/A,10.67,0.0,1000,300
07.txt,10,11.0,11.0,5.01,11.0,11,2.43,0.0,1000,5
07.txt,1,11.0,11.0,256.06,11.001100110011,N/A,119.96,0.1,10000,300
07.txt,5,11.0,11.0,255.33,11.001100110011,N/A,119.15,0.1,10000,300
07.txt,10,11.0,11.0,254.8,11.001100110011,N/A,119.29,0.1,10000,300
07.txt,1,11.0,11.0,255.98,11.001100110011,N/A,119.65,0.05,10000,300
07.txt,5,11.0,11.0,250.89,11.001100110011,N/A,118.14,0.05,10000,300
07.txt,10,11.0,11.0,233.65,11.001100110011,N/A,111.6,0.05,10000,300
07.txt,1,11.0,11.0,252.03,11.001100110011,N/A,117.95,0.0,10000,300
07.txt,5,11.0,11.0,1007.56,11.0,11,67.64,0.0,10000,300
07.txt,10,11.0,11.0,937.65,11.0,11,26.0,0.0,10000,300
