instance,seed,Si,Sh,H T (s),Sf,Uf,F T (s),alpha,maxIt,maxTime
04.txt,1,17.0,17.0,103.63,17.093093093093092,N/A,51.85,0.1,1000,300
04.txt,1,17.0,17.0,5.0,17.02,17,2.42,0.1,1000,5
04.txt,5,17.0,17.0,104.27,17.083083083083082,N/A,51.2,0.1,1000,300
04.txt,5,17.0,17.0,5.05,17.02,17,2.44,0.1,1000,5
04.txt,10,17.0,17.0,100.69,17.08908908908909,N/A,50.35,0.1,1000,300
04.txt,10,17.0,17.0,5.07,17.02,17,2.47,0.1,1000,5
04.txt,1,17.0,17.0,100.36,17.093093093093092,N/A,50.37,0.05,1000,300
04.txt,1,17.0,17.0,5.07,17.019607843137255,17,2.46,0.05,1000,5
04.txt,5,17.0,17.0,100.92,17.083083083083082,N/A,50.45,0.05,1000,300
04.txt,5,17.0,17.0,5.0,17.019607843137255,17,2.43,0.05,1000,5
04.txt,10,17.0,17.0,101.36,17.08908908908909,N/A,50.75,0.05,1000,300
04.txt,10,17.0,17.0,5.07,17.02,17,2.47,0.05,1000,5
04.txt,1,17.0,17.0,100.6,17.093093093093092,N/A,50.47,0.0,1000,300
04.txt,1,17.0,17.0,5.04,17.019607843137255,17,2.45,0.0,1000,5
04.txt,5,17.0,17.0,100.83,17.083083083083082,N/A,50.36,0.0,1000,300
04.txt,5,17.0,17.0,5.07,17.03846153846154,17,2.47,0.0,1000,5
04.txt,10,17.0,17.0,100.65,17.08908908908909,N/A,50.47,0.0,1000,300
04.txt,10,17.0,17.0,5.09,17.02,17,2.48,0.0,1000,5
04.txt,1,17.0,17.0,310.89,17.072876071706936,17,135.27,0.1,10000,300
04.txt,5,17.0,17.0,327.22,17.0800933125972,17,141.81,0.1,10000,300
04.txt,10,17.0,17.0,307.08,17.068791294209095,17,134.77,0.1,10000,300
04.txt,1,17.0,17.0,305.47,17.072876071706936,17,133.67,0.05,10000,300
04.txt,5,17.0,17.0,326.42,17.0800933125972,17,139.86,0.05,10000,300
04.txt,10,17.0,17.0,322.15,17.068791294209095,17,139.74,0.05,10000,300
04.txt,1,17.0,17.0,329.09,17.072876071706936,17,143.2,0.0,10000,300
04.txt,5,17.0,17.0,325.88,17.0800933125972,17,143.32,0.0,10000,300
04.txt,10,17.0,17.0,315.59,17.068791294209095,17,136.61,0.0,10000,300
