instance,seed,Si,Sh,H T (s),Sf,Uf,F T (s),alpha,maxIt,maxTime
08.txt,1,58.0,53.0,86.74,56.51551551551552,N/A,39.25,0.1,1000,300
08.txt,1,58.0,54.0,5.05,56.70422535211268,54,2.49,0.1,1000,5
08.txt,5,58.0,53.0,89.49,56.51551551551552,N/A,40.13,0.1,1000,300
08.txt,5,58.0,54.0,5.06,56.41428571428571,54,2.5,0.1,1000,5
08.txt,10,56.0,53.0,89.94,56.61561561561562,N/A,40.0,0.1,1000,300
08.txt,10,56.0,54.0,5.03,56.51428571428571,54,2.5,0.1,1000,5
08.txt,1,57.0,53.0,84.65,56.473473473473476,N/A,38.61,0.05,1000,300
08.txt,1,57.0,54.0,5.01,56.57746478873239,54,2.47,0.05,1000,5
08.txt,5,58.0,53.0,83.78,56.66366366366366,N/A,38.33,0.05,1000,300
08.txt,5,58.0,54.0,5.03,56.67142857142857,54,2.5,0.05,1000,5
08.txt,10,58.0,54.0,87.97,56.63863863863864,N/A,39.45,0.05,1000,300
08.txt,10,58.0,55.0,5.04,56.563380281690144,55,2.48,0.05,1000,5
08.txt,1,58.0,53.0,89.43,56.65565565565566,N/A,40.42,0.0,1000,300
08.txt,1,58.0,54.0,5.02,56.72857142857143,54,2.47,0.0,1000,5
08.txt,5,56.0,53.0,88.83,56.76376376376376,N/A,39.83,0.0,1000,300
08.txt,5,56.0,55.0,5.02,56.65714285714286,55,2.5,0.0,1000,5
08.txt,10,57.0,53.0,85.46,56.7977977977978,N/A,38.82,0.0,1000,300
08.txt,10,57.0,55.0,5.02,56.74285714285714,55,2.47,0.0,1000,5
08.txt,1,58.0,53.0,385.56,56.44016929588303,53,140.08,0.1,10000,300
08.txt,5,58.0,53.0,337.83,56.4736234116288,53,119.21,0.1,10000,300
08.txt,10,56.0,53.0,439.02,56.50751445086705,53,124.5,0.1,10000,300
08.txt,1,57.0,53.0,431.97,56.530448104174646,53,122.77,0.05,10000,300
08.txt,5,58.0,53.0,353.64,56.58762490392006,53,119.61,0.05,10000,300
08.txt,10,58.0,53.0,337.99,56.550746840291076,53,122.08,0.05,10000,300
08.txt,1,58.0,53.0,365.59,56.669364161849714,53,117.69,0.0,10000,300
08.txt,5,56.0,53.0,409.22,56.701774691358025,53,117.96,0.0,10000,300
08.txt,10,57.0,53.0,425.16,56.68919434898817,53,130.01,0.0,10000,300
