instance,seed,Si,Sh,H T (s),Sf,Uf,F T (s),alpha,maxIt,maxTime
05.txt,1,279.0,162.0,633.39,220.5,162,120.44,0.1,1000,300
05.txt,1,279.0,279.0,233.07,279.0,279,0.02,0.1,1000,5
05.txt,5,268.0,155.0,559.48,211.5,155,126.88,0.1,1000,300
05.txt,5,268.0,268.0,257.99,268.0,268,0.02,0.1,1000,5
05.txt,10,269.0,157.0,583.17,213.0,157,133.1,0.1,1000,300
05.txt,10,269.0,269.0,266.56,269.0,269,0.03,0.1,1000,5
05.txt,1,228.0,156.0,360.23,192.0,156,86.15,0.05,1000,300
05.txt,1,228.0,228.0,173.82,228.0,228,0.01,0.05,1000,5
05.txt,5,224.0,224.0,468.26,224.0,224,0.02,0.05,1000,300
05.txt,5,224.0,224.0,130.58,224.0,224,0.02,0.05,1000,5
05.txt,10,228.0,161.0,567.18,183.66666666666666,161,143.83,0.05,1000,300
05.txt,10,228.0,228.0,135.31,228.0,228,0.02,0.05,1000,5
05.txt,1,128.0,122.0,313.51,126.08333333333333,122,136.19,0.0,1000,300
05.txt,1,128.0,128.0,17.94,128.0,128,0.03,0.0,1000,5
05.txt,5,127.0,122.0,300.13,125.76190476190476,122,128.54,0.0,1000,300
05.txt,5,127.0,127.0,17.18,127.0,127,0.01,0.0,1000,5
05.txt,10,129.0,122.0,319.51,125.20833333333333,122,145.91,0.0,1000,300
05.txt,10,129.0,129.0,9.11,129.0,129,0.01,0.0,1000,5
